 Radioactive Decay Experiment Wed, Oct 11, 2023 5:52 PM
Sample Number	Number of Counts
1	13
2	8
3	6
4	13
5	10
6	9
7	12
8	16
9	12
10	7
11	9
12	10
13	9
14	5
15	12
16	16
17	10
18	10
19	8
20	13
21	12
22	12
23	11
24	5
25	12
26	11
27	16
28	7
29	18
30	9
31	14
32	7
33	12
34	11
35	20
36	10
37	7
38	6
39	16
40	11
41	12
42	11
43	11
44	12
45	12
46	12
47	13
48	15
49	9
50	7
51	11
52	15
53	9
54	10
55	13
56	7
57	12
58	13
59	12
60	11
61	9
62	10
63	8
64	7
65	9
66	9
67	16
68	7
69	10
70	10
71	13
72	14
73	8
74	8
75	20
76	14
77	15
78	17
79	10
80	7
81	13
82	9
83	10
84	12
85	7
86	12
87	7
88	9
89	15
90	16
91	7
92	15
93	11
94	12
95	10
96	13
97	10
98	19
99	10
100	14
101	7
102	13
103	9
104	10
105	12
106	15
107	10
108	6
109	7
110	15
111	9
112	12
113	11
114	15
115	15
116	13
117	10
118	14
119	12
120	14
121	2
122	10
123	9
124	9
125	12
126	7
127	5
128	10
129	13
130	10
131	11
132	16
133	8
134	12
135	8
136	11
137	4
138	11
139	14
140	6
141	15
142	10
143	15
144	11
145	10
146	12
147	12
148	13
149	10
150	18
151	13
152	6
153	7
154	10
155	7
156	13
157	8
158	12
159	12
160	4
161	11
162	11
163	15
164	13
165	9
166	18
167	13
168	17
169	11
170	5
171	12
172	10
173	19
174	17
175	13
176	10
177	10
178	13
179	9
180	12
