time (s)	Final count	dt	dc
0	369.91	0	19.23304448
20	340.91	0	18.46374827
40	319.91	0	17.88602807
60	349.91	0	18.70588143
80	306.91	0	17.51884699
100	331.91	0	18.2183973
120	327.91	0	18.1082854
140	311.91	0	17.66097393
160	328.91	0	18.13587605
180	318.91	0	17.85805141
200	309.91	0	17.60426085
220	302.91	0	17.40430981
240	266.91	0	16.33738045
260	326.91	0	18.08065264
280	299.91	0	17.3179098
300	340.91	0	18.46374827
320	348.91	0	18.67913274
340	314.91	0	17.74570371
360	317.91	0	17.83003085
380	295.91	0	17.20203476
400	300.91	0	17.34675762
420	305.91	0	17.49028302
440	282.91	0	16.81992866
460	308.91	0	17.57583568
480	319.91	0	17.88602807
500	303.91	0	17.43301466
520	303.91	0	17.43301466
540	301.91	0	17.37555755
560	312.91	0	17.68926228
580	310.91	0	17.63264019
600	265.91	0	16.30674707
620	287.91	0	16.96791089
640	297.91	0	17.26006952
660	297.91	0	17.26006952
680	285.91	0	16.90887341
700	290.91	0	17.05608396
720	295.91	0	17.20203476
740	276.91	0	16.64061297
760	305.91	0	17.49028302
780	241.91	0	15.55345621
800	293.91	0	17.14380355
820	266.91	0	16.33738045
840	260.91	0	16.15270875
860	275.91	0	16.61053882
880	258.91	0	16.09068053
900	250.91	0	15.84013889
920	277.91	0	16.67063286
940	240.91	0	15.52127572
960	280.91	0	16.76036992
980	261.91	0	16.18363371
1000	271.91	0	16.48969375
1020	280.91	0	16.76036992
1040	255.91	0	15.99718725
1060	235.91	0	15.35936197
1080	266.91	0	16.33738045
1100	263.91	0	16.24530701
1120	277.91	0	16.67063286
1140	259.91	0	16.12172447
1160	234.91	0	15.32677396
1180	246.91	0	15.7133701
1200	261.91	0	16.18363371
1220	220.91	0	14.86304141
1240	247.91	0	15.74515799
1260	219.91	0	14.82936276
1280	251.91	0	15.87167288
1300	247.91	0	15.74515799
1320	256.91	0	16.02841227
1340	248.91	0	15.77688182
1360	198.91	0	14.10354565
1380	257.91	0	16.05957658
1400	253.91	0	15.93455365
1420	224.91	0	14.9969997
1440	220.91	0	14.86304141
1460	256.91	0	16.02841227
1480	207.91	0	14.41908458
1500	204.91	0	14.31467778
1520	210.91	0	14.52274079
1540	214.91	0	14.659809
1560	205.91	0	14.34956445
1580	256.91	0	16.02841227
1600	230.91	0	15.19572308
1620	233.91	0	15.29411652
1640	211.91	0	14.55712884
1660	199.91	0	14.13895329
1680	197.91	0	14.06804891
1700	204.91	0	14.31467778
1720	186.91	0	13.67150321
1740	192.91	0	13.88920444
1760	225.91	0	15.03030272
1780	221.91	0	14.89664392
1800	184.91	0	13.59816164
1820	199.91	0	14.13895329
1840	216.91	0	14.72786475
1860	185.91	0	13.63488174
1880	220.91	0	14.86304141
1900	193.91	0	13.92515709
1920	190.91	0	13.81701849
1940	214.91	0	14.659809
1960	169.91	0	13.03495301
1980	207.91	0	14.41908458
2000	191.91	0	13.85315848
2020	180.91	0	13.45027881
2040	200.91	0	14.17427247
2060	180.91	0	13.45027881
2080	204.91	0	14.31467778
2100	195.91	0	13.99678535
2120	184.91	0	13.59816164
2140	162.91	0	12.76362018
2160	196.91	0	14.03246236
2180	171.91	0	13.11144538
2200	175.91	0	13.26310673
2220	152.91	0	12.36567831
2240	183.91	0	13.56134212
2260	154.91	0	12.44628459
2280	160.91	0	12.68503055
2300	179.91	0	13.41305334
2320	149.91	0	12.24377393
2340	168.91	0	12.996538
2360	162.91	0	12.76362018
2380	169.91	0	13.03495301
